State,APMC's,Commodity,Price in Rs.,Commodity Arrivals,Commodity Traded,Unit,Date

RAJASTHAN,KOTA,PADDY,"2,100","2,401","2,977","9,287","46,085",Qui,22-03-2025
MAHARASHTRA,AATPADI,POMEGRANATE - BHAGAWA,15,45,145,"36,280","24,220",Kg,22-03-2025
RAJASTHAN,KOTA,MUSTARD,"5,011","5,411","6,200",991,"20,635",Qui,22-03-2025
RAJASTHAN,KOTA,CHANA (BENGAL GRAM),"4,114","4,855","6,566","2,436","17,708",Qui,22-03-2025
RAJASTHAN,KOTA,WHEAT,"2,011","2,565","5,417","14,411","16,787",Qui,22-03-2025
RAJASTHAN,KOTA,SOYABEANS,"3,001","3,801","4,051",997,"10,734",Qui,22-03-2025
ANDHRA PRADESH,GUNTUR,CHILLI-TEJA,"3,900","13,000","14,300",0,"5,628",Qui,22-03-2025
RAJASTHAN,KOTA,CORIANDAR,"6,135","9,165","10,400","1,076","4,934",Qui,22-03-2025
MAHARASHTRA,LASUR STATION,ONION,665,"1,450","7,780",0,"4,324",Qui,22-03-2025
MAHARASHTRA,LASUR STATION,WHEAT,"2,427","2,632","2,865",0,"3,840",Qui,22-03-2025
MAHARASHTRA,LASUR STATION,JOWAR,"2,002","2,292","3,370",0,"3,415",Qui,22-03-2025
